Resistance_mOhm,Test_CRate,Test_DoD,Test_SoH,Datasheet_Cycle
0.4,0.9988962852336699,97.53571532049581,89.2797576724562,3136.69539003176
0.4,0.4743868488068863,52.90418060840997,94.6470458309974,103235.9260971596
0.4,1.542676028183701,85.40362888980228,60.823379771832094,5774.922539999751
0.4,0.5401708236482412,65.21211214797688,80.99025726528951,73849.6756109641
0.4,1.136668044741078,64.5614570099021,84.47411578889518,22443.399559645724
0.4,0.97926842390486,72.8034992108518,91.40703845572054,13587.200790138417
0.4,0.5792170771800633,75.71172192068059,83.6965827544817,32900.73311993767
0.4,0.5092578968494996,53.25257964926398,97.95542149013333,81552.0391673171
0.4,2.4175168793789426,90.41986740582306,72.18455076693482,706.334271261975
0.4,1.1563659849750432,56.10191174223894,79.80707640445081,43631.163137295414
0.4,0.18253245067652416,95.4660201039391,70.35119926400068,31545.273849069017
0.4,1.348163250826746,77.33551396716399,67.39417822102108,12653.937377490587
0.4,2.4270031066349405,88.75664116805572,97.57995766256757,288.21503790450134
0.4,2.3124981640554805,54.424625102595975,67.83931449676581,8650.164221229104
0.4,0.20854549338529138,66.26651653816322,75.54709158757927,159954.43081376012
0.65,0.9562079840646143,64.04672548436903,81.70784332632994,17875.71307242624
0.65,0.4382181399394304,90.10984903770199,62.98202574719083,16243.950666064384
0.65,1.8496172032983695,88.56351733429729,62.96178606936361,1357.2653355438035
0.65,0.9603177485062542,55.79345297625649,94.52413703502374,17124.4228197422
0.65,0.25254004068645675,65.54911608578311,73.00733288106989,83500.20014034721
0.65,1.851054828011354,81.87787356776066,95.48850970305307,663.585455738817
0.65,1.811787489335188,88.03925243084487,82.45108790277985,846.5304405316292
0.65,1.9503212318909464,74.68977981821953,80.90931317527976,1568.5417160051516
0.65,0.3589394247839307,51.57145928433671,85.45641645055122,99010.07556644572
0.65,0.854454354583184,75.42853455823514,96.30265895704372,5955.689893755019
0.65,1.9133227325033169,61.43990827458112,63.07919639315172,6013.151397107811
0.65,0.7954034869930432,58.06106436270022,97.18790609370292,18853.49254619323
0.65,2.1915054164505223,90.18360384495573,67.46280235544144,613.746736287756
0.65,2.2421415963759466,76.96711209578254,92.2976062065625,505.48934387410947
0.65,0.3641246188664242,61.39675812709709,77.08431154505026,76184.98892990421
0.65,2.0632354382139835,93.03652916281717,60.27808522124763,669.1901062386509
0.65,0.6330587451297526,55.99326836668414,73.50460685614512,72372.89166009094
0.65,2.362983289390046,66.16014660103777,80.75162486973464,1234.4582698832362
0.65,2.4322769985303054,98.12236474710556,70.07129183301457,230.74713737851235
0.65,1.2933964141417251,65.04391549083849,71.3936197750987,13146.494262292374
0.65,1.3064296557492676,52.57393756249947,71.14585856946445,27351.421186984335
0.65,2.279838126319969,61.978094533348624,65.79579488364892,2962.3821348736847
0.65,0.680932651627601,83.60677737029393,90.46478461314871,6360.144573317709
0.65,0.6703301055817592,86.41081743059297,74.71132530877013,10398.179135670454
0.65,1.3858592417794204,54.51448850272041,93.41209982356952,9420.727067931337
0.65,0.8698721559321659,59.32592551999271,61.63100566219056,50078.50136612261
0.65,0.13981078942685476,75.60465291496405,69.05983100791752,61304.67741460716
0.65,1.6484146969826796,58.718321450249576,87.63750952409865,5611.071006298537
0.65,0.43005026595038376,67.05331755251292,64.53894084962356,64859.36738904997
0.65,2.3192646838685507,93.86696766904905,70.31766510860622,363.07877464379663
0.65,1.4324819478387096,76.48252891780032,69.67409163601806,5341.859967275655
0.65,0.32344664273415813,94.86078789766634,96.01672228653322,4777.064749584552
0.65,0.9381029790703861,86.29778394351197,95.88441039810309,2771.714772471308
0.65,2.2290074182362813,88.99377729288119,85.68126584617151,328.5267444372358
0.65,0.12207292387991116,55.073577143301605,86.54007076432222,120204.4643347381
0.65,0.11214780123092485,58.04040257087493,81.94935157466344,123503.39617648449
0.65,0.6382463427053434,85.6089610673768,69.489963499872,13361.072358266298
0.65,0.8809592755822425,87.32457025590121,85.98531596188859,4251.351808717787
0.65,1.463940648005132,54.683738391404624,74.70863212237734,16704.5439630593
0.65,0.736485682436141,62.19948216895418,98.92042219009782,15322.911696004896
0.65,1.614732702393431,89.74056517708243,80.10548372420769,1199.5324446950442
0.65,1.484569323103262,74.6258846909432,67.80971951192178,5501.88969926642
0.65,0.15835831943548923,82.27361479535838,67.08442717628196,41222.09845002374
0.65,2.3571006024469945,97.69642885012937,96.59457560881793,97.54908052748068
0.65,2.419971565704807,98.18099885446264,94.12037821869441,94.92926192947525
0.22,0.8066773409670056,69.25488643009626,94.04546686067428,18218.31727531028
0.22,1.4363230299000405,96.80773870803904,87.84119186699891,1389.7270568085623
0.22,1.468146808214476,54.85882468853843,84.6002890679668,19930.483840037763
0.22,1.8778446826100907,84.8507870497634,88.09936335948437,1285.798380035719
0.22,0.9627787629274124,64.67959221322467,92.37444621914054,19851.832585484764
0.22,2.291777326135531,75.56711994304689,80.06065178748798,1476.7723789484508
0.22,2.0159084295202603,82.49819653888827,88.07867509030814,1157.9805076835355
0.22,0.9111883764436859,68.7791476319972,63.75927759363476,43612.71010897925
0.22,1.4878723383908177,51.797113689837104,78.6239207252984,27828.83941564548
0.22,1.517999825365626,51.52501249695247,61.493927549968575,42477.63860386298
0.22,2.0742413455831796,68.00953207056314,65.0824205060754,5479.028751852491
0.22,0.6179704659924236,81.14452379095002,63.41389859975072,35216.12471120185
0.22,0.22403613080465848,76.5677315784074,81.62540486440426,58626.57180603792
0.22,2.442044990710083,75.81501741505977,72.91825891764984,1432.8999802851313
